mlbID,BF,k_rate,bb_rate,hr_rate,is_starter
425794,1287,0.15384615384615385,0.07381507381507381,0.027972027972027972,True
425844,1178,0.14431239388794567,0.042444821731748725,0.03310696095076401,True
434378,2559,0.22626025791324736,0.06525986713559985,0.02618210238374365,True
434671,292,0.1643835616438356,0.11301369863013698,0.04452054794520548,True
445276,907,0.2844542447629548,0.08599779492833518,0.02866593164277839,False
445926,720,0.2388888888888889,0.07222222222222222,0.027777777777777776,False
446321,122,0.22950819672131148,0.08196721311475409,0.040983606557377046,False
446372,952,0.19117647058823528,0.04411764705882353,0.03991596638655462,True
448179,1201,0.20233139050791007,0.08159866777685262,0.0324729392173189,True
450203,2810,0.2516014234875445,0.10106761565836299,0.031672597864768684,True
453178,307,0.21172638436482086,0.09446254071661238,0.048859934853420196,False
453268,477,0.2431865828092243,0.15513626834381553,0.016771488469601678,False
453286,1842,0.2665580890336591,0.061346362649294245,0.04125950054288816,True
453343,247,0.1417004048582996,0.08502024291497975,0.020242914979757085,False
455119,787,0.2719186785260483,0.030495552731893267,0.0241423125794155,False
456034,167,0.2215568862275449,0.05389221556886228,0.03592814371257485,False
456501,919,0.15995647442872687,0.055495103373231776,0.03917301414581066,True
456713,292,0.2876712328767123,0.0821917808219178,0.0547945205479452,False
458677,434,0.26497695852534564,0.07603686635944701,0.029953917050691243,False
458681,1845,0.23035230352303523,0.07046070460704607,0.044986449864498644,True
459429,163,0.15337423312883436,0.0736196319018405,0.03680981595092025,False
468504,219,0.1689497716894977,0.0958904109589041,0.0319634703196347,False
471911,1721,0.19814061592097618,0.07495642068564788,0.037187681580476466,True
472610,750,0.204,0.08666666666666667,0.021333333333333333,False
475479,272,0.23529411764705882,0.11397058823529412,0.007352941176470588,False
476595,316,0.23417721518987342,0.0759493670886076,0.0189873417721519,False
477132,1656,0.23429951690821257,0.06702898550724638,0.025966183574879228,True
488984,200,0.21,0.055,0.05,False
489119,734,0.15803814713896458,0.08446866485013624,0.031335149863760216,True
489265,79,0.17721518987341772,0.0759493670886076,0.08860759493670886,False
489334,177,0.1977401129943503,0.05649717514124294,0.05084745762711865,False
489446,707,0.31824611032531824,0.12446958981612447,0.03253182461103253,False
493603,771,0.27626459143968873,0.09208819714656291,0.02464332036316472,False
500779,2378,0.18502943650126155,0.0815811606391926,0.023128679562657694,True
501381,200,0.13,0.04,0.065,True
501625,76,0.19736842105263158,0.11842105263157894,0.039473684210526314,False
501925,122,0.13934426229508196,0.07377049180327869,0.05737704918032787,False
501985,455,0.16703296703296702,0.08791208791208792,0.05274725274725275,True
502042,437,0.19221967963386727,0.10983981693363844,0.02745995423340961,True
502043,2340,0.1987179487179487,0.07692307692307693,0.03333333333333333,True
502085,951,0.31019978969505785,0.10515247108307045,0.025236593059936908,False
502171,1368,0.21710526315789475,0.06359649122807018,0.021929824561403508,True
502179,559,0.17531305903398928,0.057245080500894455,0.05008944543828265,False
502202,352,0.24147727272727273,0.10795454545454546,0.02556818181818182,False
502624,730,0.17671232876712328,0.09452054794520548,0.043835616438356165,False
503285,94,0.2765957446808511,0.10638297872340426,0.031914893617021274,False
503449,168,0.19047619047619047,0.14285714285714285,0.011904761904761904,False
506433,2128,0.24201127819548873,0.06109022556390977,0.03524436090225564,True
517008,230,0.14782608695652175,0.10869565217391304,0.02608695652173913,False
518397,512,0.15625,0.0703125,0.021484375,False
518489,759,0.230566534914361,0.05928853754940711,0.028985507246376812,False
518516,788,0.1548223350253807,0.08121827411167512,0.03680203045685279,True
518553,287,0.2578397212543554,0.09407665505226481,0.03832752613240418,False
518585,847,0.358913813459268,0.11570247933884298,0.024793388429752067,False
518617,662,0.2794561933534743,0.15861027190332327,0.028700906344410877,False
518748,71,0.15492957746478872,0.09859154929577464,0.014084507042253521,False
518876,2665,0.23339587242026266,0.07692307692307693,0.029643527204502813,True
518886,799,0.3053817271589487,0.11514392991239049,0.02753441802252816,False
519008,465,0.13763440860215054,0.06881720430107527,0.023655913978494623,False
519043,732,0.25136612021857924,0.10792349726775956,0.028688524590163935,False
519141,222,0.28378378378378377,0.06756756756756757,0.02702702702702703,False
519151,944,0.2648305084745763,0.07415254237288135,0.023305084745762712,False
519242,1662,0.3128760529482551,0.060770156438026475,0.0210589651022864,True
519293,689,0.2220609579100145,0.08708272859216255,0.03193033381712627,False
519326,669,0.19581464872944693,0.10014947683109118,0.029895366218236172,False
521230,314,0.3184713375796178,0.07643312101910828,0.03184713375796178,False
523260,489,0.30879345603271985,0.11860940695296524,0.018404907975460124,False
527048,2271,0.18273888154997797,0.0845442536327609,0.026420079260237782,True
527054,304,0.17434210526315788,0.049342105263157895,0.046052631578947366,True
528748,242,0.16115702479338842,0.06611570247933884,0.028925619834710745,True
541640,706,0.16855524079320114,0.05240793201133145,0.03824362606232295,False
542585,446,0.24663677130044842,0.11659192825112108,0.03139013452914798,False
542881,2719,0.18720117690327326,0.08458992276572269,0.0316292754689224,True
542888,1064,0.24812030075187969,0.06860902255639098,0.018796992481203006,False
542914,366,0.25136612021857924,0.07923497267759563,0.02459016393442623,False
542947,354,0.13559322033898305,0.0423728813559322,0.022598870056497175,False
543037,2205,0.28253968253968254,0.06394557823129252,0.030839002267573697,True
543056,553,0.2603978300180832,0.081374321880651,0.018083182640144666,False
543101,682,0.1935483870967742,0.05278592375366569,0.04398826979472141,True
543135,2382,0.23971452560873216,0.05877413937867338,0.030226700251889168,True
543238,114,0.2807017543859649,0.13157894736842105,0.05263157894736842,False
543243,2709,0.2643041712809155,0.06312292358803986,0.024732373569582872,True
543272,464,0.22198275862068967,0.10129310344827586,0.021551724137931036,False
543294,2196,0.16393442622950818,0.06238615664845173,0.033697632058287796,True
543339,392,0.2653061224489796,0.07397959183673469,0.030612244897959183,False
543351,235,0.2425531914893617,0.07659574468085106,0.04680851063829787,False
543475,1541,0.17326411421155094,0.06424399740428294,0.04218040233614536,True
543507,323,0.22910216718266255,0.12074303405572756,0.02476780185758514,False
543518,526,0.2414448669201521,0.11026615969581749,0.045627376425855515,False
543521,554,0.22743682310469315,0.06678700361010831,0.019855595667870037,False
543548,109,0.07339449541284404,0.11009174311926606,0.045871559633027525,False
543606,466,0.1888412017167382,0.0815450643776824,0.030042918454935622,True
543766,475,0.20210526315789473,0.09894736842105263,0.02736842105263158,False
543859,772,0.23316062176165803,0.07901554404145078,0.02849740932642487,False
543901,97,0.10309278350515463,0.020618556701030927,0.030927835051546393,False
544150,565,0.1911504424778761,0.07610619469026549,0.03008849557522124,True
544365,175,0.24,0.12,0.011428571428571429,False
544727,268,0.1865671641791045,0.13059701492537312,0.033582089552238806,False
545343,138,0.18840579710144928,0.10869565217391304,0.028985507246376812,False
547001,210,0.1761904761904762,0.09047619047619047,0.02857142857142857,False
547179,2200,0.19272727272727272,0.08772727272727272,0.03318181818181818,True
547184,381,0.18635170603674542,0.10236220472440945,0.02099737532808399,False
547943,337,0.16023738872403562,0.05341246290801187,0.04154302670623145,True
547973,947,0.3590285110876452,0.12988384371700107,0.01795142555438226,False
548384,584,0.2705479452054795,0.08561643835616438,0.011986301369863013,False
548389,1298,0.17719568567026195,0.04468412942989214,0.030046224961479198,True
552640,645,0.24651162790697675,0.05581395348837209,0.037209302325581395,False
554340,781,0.2752880921895006,0.07170294494238157,0.028169014084507043,False
554430,3030,0.2874587458745875,0.05676567656765676,0.025412541254125412,True
554431,232,0.19827586206896552,0.13793103448275862,0.02586206896551724,False
570257,331,0.25075528700906347,0.1027190332326284,0.02416918429003021,False
570488,72,0.18055555555555555,0.09722222222222222,0.0,False
570632,1343,0.14594192107222637,0.09456440804169769,0.03350707371556218,True
570663,111,0.1891891891891892,0.12612612612612611,0.04504504504504504,False
570666,468,0.14957264957264957,0.08547008547008547,0.03632478632478633,False
571479,367,0.30517711171662126,0.10354223433242507,0.027247956403269755,False
571510,1335,0.23146067415730337,0.0749063670411985,0.02546816479400749,True
571539,153,0.1503267973856209,0.0915032679738562,0.032679738562091505,False
571578,2930,0.1781569965870307,0.0720136518771331,0.03617747440273038,True
571656,807,0.24039653035935563,0.10285006195786865,0.024783147459727387,False
571670,747,0.20615796519410978,0.06559571619812583,0.01606425702811245,False
571710,289,0.2629757785467128,0.11072664359861592,0.02768166089965398,False
571760,2241,0.22936189201249443,0.07407407407407407,0.038375725122713075,True
571800,464,0.14655172413793102,0.09051724137931035,0.032327586206896554,True
571863,187,0.16042780748663102,0.058823529411764705,0.053475935828877004,False
571882,697,0.19799139167862267,0.08321377331420372,0.02295552367288379,False
571901,491,0.1975560081466395,0.0855397148676171,0.020366598778004074,False
571927,1164,0.211340206185567,0.058419243986254296,0.029209621993127148,False
571945,3071,0.16769781830022795,0.045913383262780855,0.0348420709866493,True
571946,611,0.265139116202946,0.08183306055646482,0.027823240589198037,False
571948,1093,0.22598353156450138,0.05763952424519671,0.0192131747483989,False
572020,848,0.20518867924528303,0.09787735849056604,0.03537735849056604,True
572070,185,0.1945945945945946,0.07027027027027027,0.016216216216216217,False
572125,75,0.24,0.06666666666666667,0.05333333333333334,False
572143,241,0.1908713692946058,0.04979253112033195,0.024896265560165973,False
572193,289,0.20069204152249134,0.08304498269896193,0.03460207612456748,False
572403,374,0.20855614973262032,0.10695187165775401,0.0374331550802139,False
572703,59,0.13559322033898305,0.11864406779661017,0.0,False
572955,846,0.2919621749408983,0.09929078014184398,0.02955082742316785,False
572971,554,0.14620938628158844,0.10288808664259928,0.030685920577617327,True
573009,734,0.2125340599455041,0.05449591280653951,0.021798365122615803,False
573124,963,0.2751817237798546,0.09241952232606439,0.028037383177570093,False
573186,1994,0.18906720160481444,0.08224674022066199,0.025075225677031094,True
573204,829,0.2798552472858866,0.07840772014475271,0.030156815440289506,False
579328,2670,0.2565543071161049,0.08426966292134831,0.03707865168539326,True
